Hanzi,Pinyin,English
小,xiǎo,small; prefix indicating small size or endearment
小朋友,xiǎopéngyǒu,"little friend, child"
小时,xiǎoshí,hour
小学,xiǎoxué,primary school
小学生,xiǎoxuéshēng,primary school student
些,xiē,measure word for an indefinite amount
写,xiě,to write
谢谢,xièxie,to thank
新,xīn,new
星期,xīngqī,week
星期日,xīngqīrì,Sunday
星期天,xīngqītiān,Sunday
休息,xiūxi,to rest
学,xué,"to learn, to study"
学生,xuéshēng,student
学习,xuéxí,to study
学校,xuéxiào,school
雪,xuě,snow
要,yào,"to want, to need"
也,yě,"also, too"
一,yī,one
衣服,yīfu,clothes
医生,yīshēng,doctor
医院,yīyuàn,hospital
一半,yíbàn,half
一下,yíxià,"once, a little; (in a short while)"
椅子,yǐzi,chair
一点儿,yìdiǎnr,"a little, a bit"
一些,yìxiē,"some, a few"
有,yǒu,"to have, to exist"
有的,yǒude,some of them
有点儿,yǒudiǎnr,"a little, slightly"
有些,yǒuxiē,"some, some of; (somewhat, rather)"
雨,yǔ,rain
元,yuán,yuan
月,yuè,month; moon
再,zài,"again, then"
在,zài,to be at; at; in the middle of
再见,zàijiàn,goodbye
早,zǎo,early
早饭,zǎofàn,breakfast
早上,zǎoshang,morning
怎么,zěnme,how
怎么样,zěnmeyàng,"how about, what do you think"
找,zhǎo,to look for
这,zhè,this
这边,zhèbiān,here
这个,zhège,this one
这里,zhèlǐ,here
这儿,zhèr,here
这些,zhèxiē,these
真,zhēn,really; (true)
正在,zhèngzài,in the process of
只,zhī,"measure word for animals, one of a pair"
知道,zhīdào,to know
中国,Zhōngguó,China
中文,Zhōngwén,Chinese language
中午,zhōngwǔ,noon
中学,zhōngxué,middle school
中学生,zhōngxuéshēng,middle school student
住,zhù,"to live, to reside"
桌子,zhuōzi,"table, desk"
字,zì,"character, script"
昨天,zuótiān,yesterday
坐,zuò,to sit
做,zuò,"to do, to make"
做饭,zuò fàn,to cook
